,Channel Name,Video Name,URL,Download
10,sharkyaerials,NN,https://www.instagram.com/reel/CLIviMlD-ls/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.2886-16/149360307_1063477054149082_9048610375016242234_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQxMi5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=VDHg9jfB3osAX_W9L35&edm=ALQROFkBAAAA&vs=17859079658390107_1738998082&_nc_vs=HBksFQAYJEdMTU81d2phRVFvTU9zY0RBRHJjd2NreEg1Tjlia1lMQUFBRhUAAsgBABUAGCRHQjF1NEFpcGV4WlJLQnNGQUZUN29kdzdhZ3RZYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACa2nIfvn6%2B5PxUCKAJDMywXQDkQ5WBBiTcYEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&_nc_rid=57fd8c8a52&ccb=7-5&oh=00_AfBiO81srfaeeGCFEtyWnMSm3Bgn8WEPSaO51xpjCl_YkA&oe=63F2B697&_nc_sid=30a2ef
11,scott_fairchild,NN,https://www.instagram.com/reel/CaXTw7LlVQe/,https://instagram.fbog4-2.fna.fbcdn.net/v/t50.2886-16/274688249_443994567471915_9125737461947933594_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fbog4-2.fna.fbcdn.net&_nc_cat=103&_nc_ohc=YtDiLQMFXvsAX97E8ll&tn=pJE7-rt2D58kAej9&edm=ALQROFkBAAAA&vs=1054181135312884_2991685736&_nc_vs=HBksFQAYJEdQbG9YeEFyODNtS3o1TUJBSnFqNFJUZklhVl9icV9FQUFBRhUAAsgBABUAGCRHQk9yWHhCV0lNdFU2aUFCQU1PbEZlX040V2RoYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm%2FvHLo4iQ2z8VAigCQzMsF0A490vGp%2B%2BeGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=9d14f2db8f&ccb=7-5&oh=00_AfDMx1bCVVnUFefwSwtaSqmKRRC_sFgRHzMiB_JSNvw9Ng&oe=63F28C48&_nc_sid=30a2ef
12,scott_fairchild,NN,https://www.instagram.com/reel/CYRm-Lcl9AR/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.2886-16/271316971_694131501998218_3380974954120583650_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=HkANzsC_rUUAX_bh5Cs&tn=pJE7-rt2D58kAej9&edm=ALQROFkBAAAA&vs=3848264268732140_4207340167&_nc_vs=HBksFQAYJEdPdjNLeENLb0pvVlQzY0NBT0taMmI3T291c3VicV9FQUFBRhUAAsgBABUAGCRHSVJMS1JDUkYzQjFoMTBBQUR2MVNJcGJnS1ExYnFfRUFBQUYVAgLIAQAoABgAGwAVAAAm1vLQ4cKl3j8VAigCQzMsF0A7Kn752yLRGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=07bb37f349&ccb=7-5&oh=00_AfCbguAnEMn-dLqryjSqirnZKYdPR4OTYSKi-llyIJtV2w&oe=63F272E3&_nc_sid=30a2ef
13,sharkyaerials,NN,https://www.instagram.com/reel/BSld5uRhK6D/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.2886-16/17794431_533856573668975_1843745605231312896_n.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ19wcm9ncmVzc2l2ZV91cmxnZW4ucHJvZHVjdF90eXBlLmZlZWRcIl0ifQ&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=sO80kzPZFewAX8rfJiV&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfAQ00row2C2NEiTG8KcaWeM-q2oRtyQLs5nOdZWUMSyGw&oe=63F2F4D9&_nc_sid=30a2ef
14,sharkyaerials,NN,https://www.instagram.com/reel/CcueNgSlx5E/,https://instagram.fbog4-2.fna.fbcdn.net/v/t50.16885-16/279212592_1157674588314957_3738585938985975064_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fbog4-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=q3MDP6Rh1NEAX_Kh5sc&edm=ALQROFkBAAAA&vs=398906818512106_292287818&_nc_vs=HBkcFQAYJEdEQnlwQkJOSFpvZTVod0VBQmg5aDRjYUlPSXpidlZCQUFBRhUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJqTc1oqVqrFAFQIoAkMzLBdAO92yLQ5WBBgSZGFzaF9iYXNlbGluZV8yX3YxEQB17AcA&_nc_rid=2b308cae19&ccb=7-5&oh=00_AfCNqCv9fA5X69GnNwxDRdZmInLrNRCREWaoTC5jxDAagg&oe=63F25745&_nc_sid=30a2ef
15,sharkyaerials,NN,https://www.instagram.com/reel/B_3m6rhjkoe/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.2886-16/96293697_538831340339309_1229070025574390029_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjMxMi5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=1W0LUxhzXpkAX9Km0zQ&tn=pJE7-rt2D58kAej9&edm=ALQROFkBAAAA&vs=17872564396713628_1528524813&_nc_vs=HBksFQAYJEdFRlR2UVZ0Z0tKeUVPb0JBQTBaY1NhdGlBNFJia1lMQUFBRhUAAsgBABUAGCRHTWwxdVFYTmRENWRrQklDQU9yQUtUQ3JZQ0U2YmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACa4uvTllMC%2FPxUCKAJDMywXQDVmZmZmZmYYEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&_nc_rid=8e5cc8eccc&ccb=7-5&oh=00_AfA6HLHj6tQxNon0BWtlwGQsGsU-uTd4YpOLZe2lZSgfGQ&oe=63F28FA5&_nc_sid=30a2ef
16,scott_fairchild,NN,https://www.instagram.com/reel/CjxqWL1PdJN/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.2886-16/312066617_481812500638240_6335831085833534942_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jbGlwcy5iYXNlbGluZSIsInFlX2dyb3VwcyI6IltcImlnX3dlYl9kZWxpdmVyeV92dHNfb3RmXCJdIn0&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=XKyJnR5iKZUAX9PYxWE&edm=ALQROFkBAAAA&vs=615382986950748_2630748232&_nc_vs=HBksFQAYJEdEbkNtUklnNnZLMk5MWUJBTjQ5LU12TlpPMVhicV9FQUFBRhUAAsgBABUAGCRHSHV6ZFJMbFh6clVkMTRDQUtKcTM4azQ4ZVJ1YnFfRUFBQUYVAgLIAQAoABgAGwAVAAAmpN7M0%2Fn%2F5T8VAigCQzMsF0A3VT987ZFoGBJkYXNoX2Jhc2VsaW5lXzJfdjERAHX%2BBwA%3D&_nc_rid=c3b36195c7&ccb=7-5&oh=00_AfD9aVfNqHkPRImhdZixogxWTssi4CE93TokKFLpyl4eiw&oe=63F2775F&_nc_sid=30a2ef
17,sharkyaerials,NN,https://www.instagram.com/reel/CiJn4q4vXjx/,https://instagram.fbog4-1.fna.fbcdn.net/v/t50.16885-16/304864414_1124076381573682_815496447851413972_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5pZ3R2LmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=instagram.fbog4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=xuWJIYgMCPMAX9ba16N&edm=ALQROFkBAAAA&vs=1166147120663861_3250405270&_nc_vs=HBkcFQAYJEdKN2NLeEl5a214dFYtNERBTlRCeHRteU9WRUxidlZCQUFBRhUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJvDz2JDfyrU%2FFQIoAkMzLBdALwAAAAAAABgSZGFzaF9iYXNlbGluZV8yX3YxEQB17AcA&_nc_rid=09bf05ca8e&ccb=7-5&oh=00_AfDiJNqMB1N9JDAerGrvFNU4sLz48Fucv2OkFCohkXL3SA&oe=63F2F4F9&_nc_sid=30a2ef
18,sharkyaerials,NN,https://www.instagram.com/reel/CV9-0EdlqG4/,https://instagram.fbog4-2.fna.fbcdn.net/v/t50.16885-16/255060786_611527763220614_8808216236856231985_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQzOC5pZ3R2LmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fbog4-2.fna.fbcdn.net&_nc_cat=102&_nc_ohc=cxjle5kcC3IAX8-_oQe&tn=pJE7-rt2D58kAej9&edm=ALQROFkBAAAA&vs=17921044867965726_2403721596&_nc_vs=HBkcFQAYJEdETHJNd19HMkJobkxpd0NBREhJcE43LUVUMTZidlZCQUFBRhUAAsgBACgAGAAbAYgHdXNlX29pbAExFQAAJrbJw9zP1tM%2FFQIoAkMzLBdAK3dLxqfvnhgSZGFzaF9iYXNlbGluZV8yX3YxEQB17AcA&_nc_rid=d662599322&ccb=7-5&oh=00_AfBXfirA3ks5LdPiSKFU91e6R9kkXq_jlLMPGvhgcG8a0Q&oe=63F263B1&_nc_sid=30a2ef
19,nat_davies_,NN,https://www.instagram.com/reel/CGwYYD8DaqZ/,https://instagram.fbog4-2.fna.fbcdn.net/v/t50.2886-16/122766059_3073641262863032_3028654812868938661_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjM0MC5mZWVkLmRlZmF1bHQiLCJxZV9ncm91cHMiOiJbXCJpZ193ZWJfZGVsaXZlcnlfdnRzX290ZlwiXSJ9&_nc_ht=instagram.fbog4-2.fna.fbcdn.net&_nc_cat=108&_nc_ohc=bNgy-jaGlgUAX-fPvZx&tn=pJE7-rt2D58kAej9&edm=ALQROFkBAAAA&vs=17857512641241165_3109286343&_nc_vs=HBksFQAYJEdPdENVUWU0MHFQZmRlc0tBS1dMVkh5QjhRY3Fia1lMQUFBRhUAAsgBABUAGCRHQ0dhU3dmN3RlZC1CWVVBQUI0MlRpRU9vRXhhYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACaajd%2FIhNS4PxUCKAJDMywXQD4qfvnbItEYEmRhc2hfYmFzZWxpbmVfMl92MREAdeoHAA%3D%3D&_nc_rid=e7d02a4168&ccb=7-5&oh=00_AfCMkHhViqOLKcgma1Zspid7qpWDOUqx3cvHb3qrhtF_yw&oe=63F25381&_nc_sid=30a2ef
